Nome,Data,Hora,Endereço,Link
"BLOCO DO POVO",03/02/2024,14:00,"AVENIDA GENERAL OLIMPIO MOURAO FILHO, 178, Itapoã","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-povo"
"TÁ MOLE MAS É MEU",03/02/2024,14:00,"RUA DOM OSCAR ROMERO, 286, Nova Gameleira","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ta-mole-mas-e-meu"
"PAPAUÊ",03/02/2024,14:00,"RUA SANTA RITA DURAO, 1250, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/papaue-15826"
"BLOCO VEXAME",03/02/2024,14:00,"RUA MODINHA, 16, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-vexame-15629"
"RENAFOLIA",03/02/2024,14:00,"PRACA URUPES, 23, Renascença","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/renafolia"
"BLOCO DO SARAIVA",03/02/2024,14:00,"RUA ATALAIA, 209, Caiçaras","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-saraiva"
"BLOCO TA CAINDO FULÔ",03/02/2024,14:30,"RUA EDSON, 405, União","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-ta-caindo-fulo"
"BLOCO BOI ROSADO",03/02/2024,14:30,"RUA ANGELO RABELO, 54, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-boi-rosado"
"APAETUCADA",03/02/2024,14:30,"RUA CRISTAL, 99, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/apaetucada"
"BLOCO BARÉ BAR",03/02/2024,15:00,"ALAMEDA LIDIO DE FREITAS RAMOS, 433, Piratininga","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-bare-bar"
"BLOCO DO PADRECO",03/02/2024,15:00,"RUA CASTIGLIANO, 777, Padre Eustáquio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-padreco"
"BLOCO DA PERUCA",03/02/2024,15:30,"RUA ERNESTO AUSTIN, 384, Boa Vista","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-peruca"
"BLOCO DO JORGE",03/02/2024,16:00,"RUA PINHEIROS, 728, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-jorge"
"BLOCO MAGALHÃES",03/02/2024,16:00,"AVENIDA FRANCISCO SALES, 20, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-magalhaes"
"BLOCO DO BARULHO",03/02/2024,16:00,"RUA MATIAS BARBOSA, 15, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-barulho"
"BLOCO ZN",03/02/2024,16:00,"RUA WASHINGTON LUIZ, 1152, Vila Aeroporto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-zn-15583"
